Babar Azam
Muhammad Rizwan
Haider Ali
Shoaib Malik
Fakhar Zaman
Sarfaraz Ahmed 
Imad Wasim
Muhammad Hasnain
Shaheen Afridi
Hassan Ali
Shadab Khan
Shahnawaz Dahani
Muhammad Wasim
Khushdil Shah
Asif Ali
Wahab Riaz
Aaron Finch
Steve Smith
David Warner
Marnus Labuschagne
pat Cummins
Glenn Maxwell
Ashton Agar
Alex Carey
Josh Hazlewood
Nathan Lyon
mitchell marsh
Kane Richardson
Sean Abbot
Mitchell Starc
Marcus Stoinis
Mathew Wade
Kane Williamson
Martin Guptill
Tom Latham
Daryl Mitchell
Henry Nicholls
Tim Seifert
Jimmy Neesham
Colin De Grandhome
Neil Wagner
Kyle Jameison
BJ Watling
Ajaz Patel
Adam Milne
Mitchell Santner
Trent Boult
Tim Southee
Sean Williams
Donald Tripano
Sikandar Raza
Brendon Taylor
Blessing Muzarabani
Tarisai Masakanda
Wellington Masakadza
Kevin Kasuza
Ryan Burl
Regis Chakabva
Tendai Chatara
Tendai Chisoro
Craig Ervine
Luke Jongwe
Prince Masvaure
Brandon Mavuta
Dasun Shanaka
Minod Bhanuka
Dinesh Chandimal
Avishka Fernando
Pathum Nissanka
Kusal Parera
Akila Dhananjiya
Danan de Silva
Hasaranga Silva
Ramesh Mendis
Lahiru Madushanka
Lahiru Kumara
Binura Fernando
Angelo Mathews
Kamindu Mendis
CH Karunaratne
